序号 (Index),英文单词 (Word),中文翻译 (Translation),词汇全称 (Formatted),出现频次 (Frequency),平均游客星级 (Star Rating),固有 VADER 得分 (-4.0 to +4.0),Plutchik 情绪分类 (Category)
625,depart,情绪与感知词汇,depart (情绪与感知词汇),17,4.706,0.0,SADNESS
626,caution,情绪与感知词汇,caution (情绪与感知词汇),24,4.708,0.0,ANTICIPATION
627,heartily,情绪与感知词汇,heartily (情绪与感知词汇),16,5.0,0.0,JOY
628,lesser,情绪与感知词汇,lesser (情绪与感知词汇),15,4.733,0.0,DISGUST
629,luxury,情绪与感知词汇,luxury (情绪与感知词汇),17,4.471,0.0,JOY
630,calf,情绪与感知词汇,calf (情绪与感知词汇),16,4.938,0.0,JOY
631,diverse,情绪与感知词汇,diverse (情绪与感知词汇),19,5.0,0.0,CATE
632,preparation,情绪与感知词汇,preparation (情绪与感知词汇),16,4.938,0.0,ANTICIPATION
633,garden,情绪与感知词汇,garden (情绪与感知词汇),113,4.956,0.0,JOY
634,horse,情绪与感知词汇,horse (情绪与感知词汇),20,4.65,0.0,TRUST
635,hood,情绪与感知词汇,hood (情绪与感知词汇),48,4.938,0.0,DISGUST
